label,message
ham,"Let's catch up this weekend, are you free?"
ham,Can you send me the notes from today's AI/ML class?
ham,"Let's catch up this weekend, are you free?"
ham,"I'll be home around 5:30, see you then."
ham,Can you pick up some groceries on your way home?
spam,Claim your prize now! You won a holiday voucher in our lucky draw. Reply WIN
ham,Can you pick up some groceries on your way home?
spam,Congratulations! You have WON a free gift card. Call 07123456789 now to claim!
ham,Great job on the presentation today!
ham,"Let's catch up this weekend, are you free?"
spam,You've been selected for a FREE gift card! Text YES to 09012345678
ham,Great job on the presentation today!
ham,Great job on the presentation today!
ham,Can you send me the notes from today's AI/ML class?
ham,"The meeting has been moved to 6pm, please update your calendar."
spam,WINNER!! As a valued customer you have been selected to receive a gift card
spam,URGENT: Your account will be suspended. Verify now at http://claim-prize.example.com
spam,WINNER!! As a valued customer you have been selected to receive a cash prize
ham,Thanks for your help with the AI/ML project yesterday.
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 07123456789"
ham,"Let's catch up this weekend, are you free?"
spam,Your loan of $5000 has been approved. Confirm details at http://verify-account.example.net
ham,"The meeting has been moved to noon, please update your calendar."
spam,You've been selected for a FREE gift card! Text YES to 09012345678
ham,"I'll be home around noon, see you then."
ham,"The meeting has been moved to tomorrow morning, please update your calendar."
spam,Claim your prize now! You won a gift card in our lucky draw. Reply WIN
spam,Congratulations! You have WON a free cash prize. Call 09012345678 now to claim!
spam,You've been selected for a FREE holiday voucher! Text YES to 09012345678
spam,Claim your prize now! You won a iPhone in our lucky draw. Reply WIN
ham,Can you pick up some groceries on your way home?
ham,Happy birthday! Hope you have a great day.
ham,"Let's catch up this weekend, are you free?"
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 09012345678"
spam,Hot singles in your area want to chat! Visit http://claim-prize.example.com now
ham,"I'll be home around tomorrow morning, see you then."
ham,Thanks for your help with the history project yesterday.
spam,Hot singles in your area want to chat! Visit http://claim-prize.example.com now
ham,"Hey, are we still meeting for lunch at noon?"
spam,"Cheap loans available instantly, no credit check. Apply at http://claim-prize.example.com"
ham,Great job on the presentation today!
spam,"Cheap loans available instantly, no credit check. Apply at http://verify-account.example.net"
ham,Happy birthday! Hope you have a great day.
spam,Limited time offer: Get holiday voucher for $0 today only. Click http://claim-prize.example.com
spam,You've been selected for a FREE laptop! Text YES to 08001234567
spam,WINNER!! As a valued customer you have been selected to receive a iPhone
spam,Limited time offer: Get laptop for $0 today only. Click http://claim-prize.example.com
ham,Don't forget to submit the math assignment by tomorrow morning.
spam,Your loan of $5000 has been approved. Confirm details at http://claim-prize.example.com
ham,"Let's catch up this weekend, are you free?"
spam,Hot singles in your area want to chat! Visit http://claim-prize.example.com now
ham,"The meeting has been moved to 6pm, please update your calendar."
spam,Your loan of $5000 has been approved. Confirm details at http://claim-prize.example.com
spam,URGENT: Your account will be suspended. Verify now at http://claim-prize.example.com
ham,Can you pick up some groceries on your way home?
spam,WINNER!! As a valued customer you have been selected to receive a cash prize
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 07123456789"
spam,WINNER!! As a valued customer you have been selected to receive a iPhone
spam,You've been selected for a FREE holiday voucher! Text YES to 09012345678
ham,Don't forget to submit the math assignment by 6pm.
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 07123456789"
ham,"Let's catch up this weekend, are you free?"
spam,Your loan of $5000 has been approved. Confirm details at http://claim-prize.example.com
spam,"Cheap loans available instantly, no credit check. Apply at http://verify-account.example.net"
spam,"Cheap loans available instantly, no credit check. Apply at http://verify-account.example.net"
ham,Don't forget to submit the AI/ML assignment by tomorrow morning.
ham,"The meeting has been moved to tomorrow morning, please update your calendar."
ham,Can you send me the notes from today's math class?
spam,Hot singles in your area want to chat! Visit http://claim-prize.example.com now
spam,You've been selected for a FREE gift card! Text YES to 07123456789
ham,Happy birthday! Hope you have a great day.
spam,URGENT: Your account will be suspended. Verify now at http://claim-prize.example.com
ham,Can you pick up some groceries on your way home?
spam,Hot singles in your area want to chat! Visit http://verify-account.example.net now
ham,"The meeting has been moved to noon, please update your calendar."
spam,WINNER!! As a valued customer you have been selected to receive a iPhone
spam,Limited time offer: Get cash prize for $0 today only. Click http://claim-prize.example.com
ham,Happy birthday! Hope you have a great day.
spam,WINNER!! As a valued customer you have been selected to receive a gift card
spam,URGENT: Your account will be suspended. Verify now at http://verify-account.example.net
spam,URGENT: Your account will be suspended. Verify now at http://verify-account.example.net
spam,"Cheap loans available instantly, no credit check. Apply at http://verify-account.example.net"
ham,"I'll be home around 6pm, see you then."
ham,Great job on the presentation today!
ham,"Hey, are we still meeting for lunch at tomorrow morning?"
spam,"Cheap loans available instantly, no credit check. Apply at http://verify-account.example.net"
spam,Limited time offer: Get laptop for $0 today only. Click http://claim-prize.example.com
spam,Congratulations! You have WON a free laptop. Call 09012345678 now to claim!
spam,Claim your prize now! You won a gift card in our lucky draw. Reply WIN
spam,Claim your prize now! You won a holiday voucher in our lucky draw. Reply WIN
ham,"Hey, are we still meeting for lunch at noon?"
spam,Claim your prize now! You won a gift card in our lucky draw. Reply WIN
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 09012345678"
spam,WINNER!! As a valued customer you have been selected to receive a iPhone
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 09012345678"
spam,"FREE entry into our $1000 weekly draw, just text ENTER to 08001234567"
ham,"Let's catch up this weekend, are you free?"
ham,Happy birthday! Hope you have a great day.
ham,Can you send me the notes from today's math class?
spam,Hot singles in your area want to chat! Visit http://claim-prize.example.com now
ham,"Let's catch up this weekend, are you free?"
spam,Congratulations! You have WON a free laptop. Call 07123456789 now to claim!
ham,"Hey, are we still meeting for lunch at 6pm?"
ham,Thanks for your help with the chemistry project yesterday.
ham,"Hey, are we still meeting for lunch at 5:30?"
spam,Limited time offer: Get gift card for $0 today only. Click http://verify-account.example.net
ham,"I'll be home around noon, see you then."
ham,"Let's catch up this weekend, are you free?"
ham,Can you pick up some groceries on your way home?
ham,"I'll be home around noon, see you then."
spam,Claim your prize now! You won a iPhone in our lucky draw. Reply WIN
ham,"The meeting has been moved to tomorrow morning, please update your calendar."
spam,URGENT: Your account will be suspended. Verify now at http://claim-prize.example.com
ham,Great job on the presentation today!
ham,"I'll be home around tomorrow morning, see you then."
ham,"Hey, are we still meeting for lunch at 6pm?"
ham,"The meeting has been moved to 6pm, please update your calendar."
